Number_of_throws;	chi2
7861;	1.0615000000e+02
7862;	7.7710000000e+01
7863;	1.0996000000e+02
7864;	8.4790000000e+01
7865;	9.7050000000e+01
7866;	1.2772000000e+02
7867;	1.0549000000e+02
7868;	8.8470000000e+01
7869;	8.5580000000e+01
7870;	9.9170000000e+01
7871;	1.0373000000e+02
7872;	9.6550000000e+01
7873;	1.0110000000e+02
7874;	1.0117000000e+02
7875;	8.3210000000e+01
7876;	1.0634000000e+02
7877;	1.0991000000e+02
7878;	1.0311000000e+02
7879;	1.0608000000e+02
7880;	7.7470000000e+01
7881;	8.6840000000e+01
7882;	1.0036000000e+02
7883;	1.0796000000e+02
7884;	8.4890000000e+01
7885;	1.0784000000e+02
7886;	1.0301000000e+02
7887;	1.1150000000e+02
7888;	9.3230000000e+01
7889;	1.1903000000e+02
7890;	1.0326000000e+02
7891;	9.1490000000e+01
7892;	1.0260000000e+02
7893;	8.9950000000e+01
7894;	1.1224000000e+02
7895;	9.8390000000e+01
7896;	1.1315000000e+02
7897;	1.1939000000e+02
7898;	1.0122000000e+02
7899;	8.7680000000e+01
7900;	8.1460000000e+01
7901;	1.2475000000e+02
7902;	1.1217000000e+02
7903;	7.4090000000e+01
7904;	1.3082000000e+02
7905;	9.3000000000e+01
7906;	1.1573000000e+02
7907;	9.5900000000e+01
7908;	1.0637000000e+02
7909;	9.2580000000e+01
7910;	1.2104000000e+02
7911;	1.0373000000e+02
7912;	9.5430000000e+01
7913;	1.2970000000e+02
7914;	9.7410000000e+01
7915;	9.8040000000e+01
7916;	1.0725000000e+02
7917;	1.0371000000e+02
7918;	1.0492000000e+02
7919;	9.5400000000e+01
7920;	1.3418000000e+02
7921;	1.1291000000e+02
7922;	9.2530000000e+01
7923;	9.6290000000e+01
7924;	1.1051000000e+02
7925;	1.0332000000e+02
7926;	1.2609000000e+02
7927;	1.2085000000e+02
7928;	7.6080000000e+01
7929;	6.3060000000e+01
7930;	9.2920000000e+01
7931;	9.6230000000e+01
7932;	1.0494000000e+02
7933;	9.3040000000e+01
7934;	8.9800000000e+01
7935;	1.0241000000e+02
7936;	1.0348000000e+02
7937;	9.0030000000e+01
7938;	1.0791000000e+02
7939;	1.2211000000e+02
7940;	7.5380000000e+01
7941;	1.0090000000e+02
7942;	1.2201000000e+02
7943;	1.0620000000e+02
7944;	9.6270000000e+01
7945;	9.5510000000e+01
7946;	1.0340000000e+02
7947;	1.0481000000e+02
7948;	9.6090000000e+01
7949;	1.0931000000e+02
7950;	1.1800000000e+02
7951;	7.9320000000e+01
7952;	9.8500000000e+01
7953;	1.0919000000e+02
7954;	7.2140000000e+01
7955;	8.7760000000e+01
7956;	9.7800000000e+01
7957;	1.2126000000e+02
7958;	1.1836000000e+02
7959;	1.2232000000e+02
7960;	9.6260000000e+01
7961;	1.0284000000e+02
7962;	8.8340000000e+01
7963;	9.6640000000e+01
7964;	8.7680000000e+01
7965;	9.3670000000e+01
7966;	9.8960000000e+01
7967;	9.5740000000e+01
7968;	9.3370000000e+01
7969;	9.6920000000e+01
7970;	1.0936000000e+02
7971;	1.0789000000e+02
7972;	9.9400000000e+01
7973;	1.0608000000e+02
7974;	9.5480000000e+01
7975;	1.0927000000e+02
7976;	1.3991000000e+02
7977;	1.1298000000e+02
7978;	1.1988000000e+02
7979;	1.0096000000e+02
7980;	9.7440000000e+01
7981;	1.0424000000e+02
7982;	8.5360000000e+01
7983;	1.0487000000e+02
7984;	1.0531000000e+02
7985;	1.1214000000e+02
7986;	1.1948000000e+02
7987;	7.7410000000e+01
7988;	9.4140000000e+01
7989;	1.0343000000e+02
7990;	9.9190000000e+01
7991;	1.0956000000e+02
7992;	7.5960000000e+01
7993;	1.0276000000e+02
7994;	1.2806000000e+02
7995;	9.5410000000e+01
7996;	1.0338000000e+02
7997;	8.6540000000e+01
7998;	1.1137000000e+02
7999;	8.5070000000e+01
8000;	8.6250000000e+01
8001;	1.0251000000e+02
8002;	1.0593000000e+02
8003;	1.1119000000e+02
8004;	9.6750000000e+01
8005;	9.7550000000e+01
8006;	1.1166000000e+02
8007;	8.8500000000e+01
8008;	8.8880000000e+01
8009;	9.6430000000e+01
8010;	1.0002000000e+02
8011;	8.8510000000e+01
8012;	1.1119000000e+02
8013;	9.9780000000e+01
8014;	9.1440000000e+01
8015;	1.0347000000e+02
8016;	1.1741000000e+02
8017;	1.0203000000e+02
8018;	1.0612000000e+02
8019;	1.0411000000e+02
8020;	8.1770000000e+01
8021;	8.8240000000e+01
8022;	1.1146000000e+02
8023;	1.0635000000e+02
8024;	1.0489000000e+02
8025;	9.6750000000e+01
8026;	8.9930000000e+01
8027;	8.8120000000e+01
8028;	9.8310000000e+01
8029;	9.9790000000e+01
8030;	1.2096000000e+02
8031;	8.2860000000e+01
8032;	1.0521000000e+02
8033;	1.0616000000e+02
8034;	1.0344000000e+02
8035;	1.0632000000e+02
8036;	9.4960000000e+01
8037;	8.9490000000e+01
8038;	1.0422000000e+02
8039;	1.0126000000e+02
8040;	1.0365000000e+02
8041;	8.8900000000e+01
8042;	7.4350000000e+01
8043;	1.1826000000e+02
8044;	8.3780000000e+01
8045;	9.3260000000e+01
8046;	9.0070000000e+01
8047;	1.0014000000e+02
8048;	9.2840000000e+01
8049;	8.6750000000e+01
8050;	1.1643000000e+02
8051;	1.3197000000e+02
8052;	1.1387000000e+02
8053;	1.0500000000e+02
8054;	1.1195000000e+02
8055;	1.0764000000e+02
8056;	1.0587000000e+02
8057;	8.9950000000e+01
8058;	8.6340000000e+01
8059;	1.0035000000e+02
8060;	1.0770000000e+02
8061;	9.4820000000e+01
8062;	8.7040000000e+01
8063;	1.0292000000e+02
8064;	9.6830000000e+01
8065;	1.0805000000e+02
8066;	8.7180000000e+01
8067;	8.8210000000e+01
8068;	7.9370000000e+01
8069;	9.2490000000e+01
8070;	1.3011000000e+02
8071;	9.3730000000e+01
8072;	7.2820000000e+01
8073;	1.1145000000e+02
8074;	7.9360000000e+01
8075;	1.0935000000e+02
8076;	9.0150000000e+01
8077;	1.0911000000e+02
8078;	1.1404000000e+02
8079;	7.4020000000e+01
8080;	7.7900000000e+01
8081;	1.1384000000e+02
8082;	1.0345000000e+02
8083;	9.6460000000e+01
8084;	8.9360000000e+01
8085;	1.1652000000e+02
8086;	1.1153000000e+02
8087;	1.2642000000e+02
8088;	7.2610000000e+01
8089;	1.1761000000e+02
8090;	9.7800000000e+01
8091;	9.3430000000e+01
8092;	8.8420000000e+01
8093;	9.5580000000e+01
8094;	9.0250000000e+01
8095;	9.9760000000e+01
8096;	1.0412000000e+02
8097;	1.1116000000e+02
8098;	9.9980000000e+01
8099;	1.3082000000e+02
8100;	9.3740000000e+01
8101;	7.7230000000e+01
8102;	1.0428000000e+02
8103;	9.4250000000e+01
8104;	9.7380000000e+01
8105;	1.0009000000e+02
8106;	8.4190000000e+01
8107;	9.7830000000e+01
8108;	9.1380000000e+01
8109;	1.0555000000e+02
8110;	9.4400000000e+01
8111;	1.1192000000e+02
8112;	9.4210000000e+01
8113;	1.2567000000e+02
8114;	8.1590000000e+01
8115;	9.8360000000e+01
8116;	9.9130000000e+01
8117;	9.3040000000e+01
8118;	8.2340000000e+01
8119;	8.7270000000e+01
8120;	9.3230000000e+01
8121;	1.1254000000e+02
8122;	9.5670000000e+01
8123;	8.3950000000e+01
8124;	9.8640000000e+01
8125;	1.0712000000e+02
8126;	1.0061000000e+02
8127;	8.2830000000e+01
8128;	1.1320000000e+02
8129;	9.5600000000e+01
8130;	9.6380000000e+01
8131;	9.3420000000e+01
8132;	1.0235000000e+02
8133;	7.6940000000e+01
8134;	1.0006000000e+02
8135;	1.1173000000e+02
8136;	9.9880000000e+01
8137;	8.0710000000e+01
8138;	1.0653000000e+02
8139;	9.1140000000e+01
8140;	1.0101000000e+02
8141;	7.8340000000e+01
8142;	1.5020000000e+02
8143;	9.5720000000e+01
8144;	1.1044000000e+02
8145;	9.5490000000e+01
8146;	9.8960000000e+01
8147;	1.0129000000e+02
8148;	8.5360000000e+01
8149;	8.7420000000e+01
8150;	1.0061000000e+02
8151;	9.1340000000e+01
8152;	6.9580000000e+01
8153;	9.6540000000e+01
8154;	7.3270000000e+01
8155;	8.3130000000e+01
8156;	1.1752000000e+02
8157;	1.1029000000e+02
8158;	1.1288000000e+02
8159;	1.0712000000e+02
8160;	7.8620000000e+01
8161;	1.0189000000e+02
8162;	9.5310000000e+01
8163;	8.9490000000e+01
8164;	9.1300000000e+01
8165;	1.0029000000e+02
8166;	1.1840000000e+02
8167;	1.0968000000e+02
8168;	9.5460000000e+01
8169;	8.0770000000e+01
8170;	8.7640000000e+01
8171;	9.6920000000e+01
8172;	9.8720000000e+01
8173;	8.1000000000e+01
8174;	6.8550000000e+01
8175;	9.7590000000e+01
8176;	9.3750000000e+01
8177;	9.6890000000e+01
8178;	8.6420000000e+01
8179;	1.1221000000e+02
8180;	8.7820000000e+01
8181;	1.2150000000e+02
8182;	1.2056000000e+02
8183;	8.9710000000e+01
8184;	6.8740000000e+01
8185;	9.6130000000e+01
8186;	9.8410000000e+01
8187;	1.1819000000e+02
8188;	7.6410000000e+01
8189;	9.0500000000e+01
8190;	1.1228000000e+02
8191;	1.0977000000e+02
8192;	9.7430000000e+01
8193;	1.0518000000e+02
8194;	8.4110000000e+01
8195;	1.0975000000e+02
8196;	9.8900000000e+01
8197;	8.5460000000e+01
8198;	8.7730000000e+01
8199;	9.8920000000e+01
8200;	1.0944000000e+02
8201;	9.1330000000e+01
8202;	9.0400000000e+01
8203;	9.4780000000e+01
8204;	1.1527000000e+02
8205;	9.3640000000e+01
8206;	1.0038000000e+02
8207;	6.6870000000e+01
8208;	1.1513000000e+02
8209;	8.4880000000e+01
8210;	8.0650000000e+01
8211;	1.0302000000e+02
8212;	1.0368000000e+02
8213;	1.0895000000e+02
8214;	1.0193000000e+02
8215;	1.0566000000e+02
8216;	1.0112000000e+02
8217;	9.9980000000e+01
8218;	1.2433000000e+02
8219;	1.1265000000e+02
8220;	8.6750000000e+01
8221;	9.1990000000e+01
8222;	9.3540000000e+01
8223;	1.1455000000e+02
8224;	8.6880000000e+01
8225;	9.2360000000e+01
8226;	1.1499000000e+02
8227;	9.6760000000e+01
8228;	1.0593000000e+02
8229;	8.7810000000e+01
8230;	8.7090000000e+01
8231;	1.0298000000e+02
8232;	1.2097000000e+02
8233;	9.6790000000e+01
8234;	1.0172000000e+02
8235;	8.1210000000e+01
8236;	1.1277000000e+02
8237;	8.4880000000e+01
8238;	9.5580000000e+01
8239;	1.1050000000e+02
8240;	8.5190000000e+01
8241;	1.0694000000e+02
8242;	7.7230000000e+01
8243;	7.7590000000e+01
8244;	1.0325000000e+02
8245;	9.1540000000e+01
8246;	1.1562000000e+02
8247;	9.5230000000e+01
8248;	1.2162000000e+02
8249;	9.7490000000e+01
8250;	1.0489000000e+02
8251;	8.3450000000e+01
8252;	1.0362000000e+02
8253;	9.2700000000e+01
8254;	8.8710000000e+01
8255;	8.4010000000e+01
8256;	9.8540000000e+01
8257;	1.2552000000e+02
8258;	1.0183000000e+02
8259;	9.5330000000e+01
8260;	9.2030000000e+01
8261;	7.9500000000e+01
8262;	8.3470000000e+01
8263;	1.0240000000e+02
8264;	1.3021000000e+02
8265;	9.9710000000e+01
8266;	9.0440000000e+01
8267;	1.0538000000e+02
8268;	1.0727000000e+02
8269;	9.8400000000e+01
8270;	7.6270000000e+01
8271;	1.0400000000e+02
8272;	1.0482000000e+02
8273;	8.2080000000e+01
8274;	8.7230000000e+01
8275;	8.6760000000e+01
8276;	9.8610000000e+01
8277;	1.0772000000e+02
8278;	1.0506000000e+02
8279;	1.1566000000e+02
8280;	7.8020000000e+01
8281;	9.6000000000e+01
8282;	1.0773000000e+02
8283;	8.8680000000e+01
8284;	8.9140000000e+01
8285;	9.0210000000e+01
8286;	1.1791000000e+02
8287;	1.0404000000e+02
8288;	8.8550000000e+01
8289;	1.2733000000e+02
8290;	1.0547000000e+02
8291;	7.2900000000e+01
8292;	1.0180000000e+02
8293;	1.0584000000e+02
8294;	8.8190000000e+01
8295;	1.3550000000e+02
8296;	7.9350000000e+01
8297;	1.1420000000e+02
8298;	1.1136000000e+02
8299;	9.9780000000e+01
8300;	1.1039000000e+02
8301;	9.9060000000e+01
8302;	9.3610000000e+01
8303;	8.8760000000e+01
8304;	9.3500000000e+01
8305;	1.1005000000e+02
8306;	1.2025000000e+02
8307;	9.8510000000e+01
8308;	1.0533000000e+02
8309;	9.8210000000e+01
8310;	1.2217000000e+02
8311;	8.9780000000e+01
8312;	1.0044000000e+02
8313;	8.9030000000e+01
8314;	1.4293000000e+02
8315;	1.1429000000e+02
8316;	6.7950000000e+01
8317;	1.1295000000e+02
8318;	7.9730000000e+01
8319;	9.6350000000e+01
8320;	1.2102000000e+02
8321;	7.3380000000e+01
8322;	1.0821000000e+02
8323;	9.3820000000e+01
8324;	1.2535000000e+02
8325;	8.9930000000e+01
8326;	7.9420000000e+01
8327;	9.9370000000e+01
8328;	8.2100000000e+01
8329;	1.2104000000e+02
8330;	9.4040000000e+01
8331;	1.1205000000e+02
8332;	9.3150000000e+01
8333;	8.1980000000e+01
8334;	9.9370000000e+01
8335;	1.0520000000e+02
8336;	1.0603000000e+02
8337;	1.1639000000e+02
8338;	1.0536000000e+02
8339;	1.1340000000e+02
8340;	9.9190000000e+01
8341;	9.9920000000e+01
8342;	1.1663000000e+02
8343;	1.1745000000e+02
8344;	1.0017000000e+02
8345;	1.0634000000e+02
8346;	9.0630000000e+01
8347;	9.5450000000e+01
8348;	1.0340000000e+02
8349;	1.0270000000e+02
8350;	8.2670000000e+01
8351;	1.1492000000e+02
8352;	9.8430000000e+01
8353;	1.0510000000e+02
8354;	1.0443000000e+02
8355;	9.2900000000e+01
8356;	1.1834000000e+02
8357;	1.1395000000e+02
8358;	1.1083000000e+02
8359;	8.9990000000e+01
8360;	9.4650000000e+01
8361;	9.6970000000e+01
8362;	9.6310000000e+01
8363;	9.6500000000e+01
8364;	1.0750000000e+02
8365;	8.1360000000e+01
8366;	1.0620000000e+02
8367;	1.0093000000e+02
8368;	1.0749000000e+02
8369;	1.1055000000e+02
8370;	9.8050000000e+01
8371;	1.2681000000e+02
8372;	7.3610000000e+01
8373;	9.5300000000e+01
8374;	8.1940000000e+01
8375;	7.6870000000e+01
8376;	8.6650000000e+01
8377;	6.3500000000e+01
8378;	8.1760000000e+01
8379;	9.4630000000e+01
8380;	7.8960000000e+01
8381;	9.8220000000e+01
8382;	9.1540000000e+01
8383;	9.6160000000e+01
8384;	6.9940000000e+01
8385;	8.6930000000e+01
8386;	8.0470000000e+01
8387;	7.9460000000e+01
8388;	1.0133000000e+02
8389;	1.0715000000e+02
8390;	1.0417000000e+02
8391;	9.8390000000e+01
8392;	1.1241000000e+02
8393;	1.0634000000e+02
8394;	9.4350000000e+01
8395;	1.0050000000e+02
8396;	9.6550000000e+01
8397;	9.7560000000e+01
8398;	9.7350000000e+01
8399;	1.1005000000e+02
8400;	1.0746000000e+02
8401;	1.0147000000e+02
8402;	1.1202000000e+02
8403;	1.0909000000e+02
8404;	8.8860000000e+01
8405;	1.0412000000e+02
8406;	8.8670000000e+01
8407;	1.0065000000e+02
8408;	7.8910000000e+01
8409;	9.7880000000e+01
8410;	9.6140000000e+01
8411;	8.5020000000e+01
8412;	1.0279000000e+02
8413;	8.6850000000e+01
8414;	1.0042000000e+02
8415;	1.1028000000e+02
8416;	1.0715000000e+02
8417;	8.2880000000e+01
8418;	1.2816000000e+02
8419;	8.7480000000e+01
8420;	1.0245000000e+02
8421;	1.1438000000e+02
8422;	8.2080000000e+01
8423;	1.0303000000e+02
8424;	1.1559000000e+02
8425;	1.0312000000e+02
8426;	9.4340000000e+01
8427;	8.2390000000e+01
8428;	9.2740000000e+01
8429;	1.0240000000e+02
8430;	1.2611000000e+02
8431;	1.3598000000e+02
8432;	9.7010000000e+01
8433;	9.7520000000e+01
8434;	1.0434000000e+02
8435;	9.4410000000e+01
8436;	9.8050000000e+01
8437;	8.8590000000e+01
8438;	1.2083000000e+02
8439;	1.3003000000e+02
8440;	1.3278000000e+02
8441;	7.8690000000e+01
8442;	1.0627000000e+02
8443;	1.0999000000e+02
8444;	1.2353000000e+02
8445;	8.9580000000e+01
8446;	6.3490000000e+01
8447;	1.0530000000e+02
8448;	7.3550000000e+01
8449;	9.2430000000e+01
8450;	1.3858000000e+02
8451;	8.1450000000e+01
8452;	8.6490000000e+01
8453;	9.8950000000e+01
8454;	1.1673000000e+02
8455;	1.0514000000e+02
8456;	8.5910000000e+01
8457;	8.8040000000e+01
8458;	1.1678000000e+02
8459;	7.8800000000e+01
8460;	7.5310000000e+01
8461;	1.1172000000e+02
8462;	1.0554000000e+02
8463;	1.0770000000e+02
8464;	9.3930000000e+01
8465;	9.8760000000e+01
8466;	1.1519000000e+02
8467;	1.0984000000e+02
8468;	1.2175000000e+02
8469;	9.6020000000e+01
8470;	9.8620000000e+01
8471;	1.0275000000e+02
8472;	1.1289000000e+02
8473;	1.0943000000e+02
8474;	9.3800000000e+01
8475;	1.0618000000e+02
8476;	1.0492000000e+02
8477;	8.5140000000e+01
8478;	1.1941000000e+02
8479;	7.8200000000e+01
8480;	8.9930000000e+01
8481;	9.5260000000e+01
8482;	9.5760000000e+01
8483;	1.3401000000e+02
8484;	1.0277000000e+02
8485;	8.1140000000e+01
8486;	8.8140000000e+01
8487;	9.8580000000e+01
8488;	8.4690000000e+01
8489;	8.9990000000e+01
8490;	7.4970000000e+01
8491;	9.3790000000e+01
8492;	8.2800000000e+01
8493;	8.7600000000e+01
8494;	1.0967000000e+02
8495;	8.8580000000e+01
8496;	9.3730000000e+01
8497;	8.5650000000e+01
8498;	7.7720000000e+01
8499;	8.5710000000e+01
8500;	8.4540000000e+01
8501;	1.0569000000e+02
8502;	9.2460000000e+01
8503;	9.1750000000e+01
8504;	9.5530000000e+01
8505;	1.1816000000e+02
8506;	1.2224000000e+02
8507;	1.1900000000e+02
8508;	9.9280000000e+01
8509;	9.3930000000e+01
8510;	1.0629000000e+02
8511;	8.9550000000e+01
8512;	1.0382000000e+02
8513;	1.0578000000e+02
8514;	8.1450000000e+01
8515;	1.2097000000e+02
8516;	7.4330000000e+01
8517;	7.6960000000e+01
8518;	8.8780000000e+01
8519;	1.1618000000e+02
8520;	9.5450000000e+01
8521;	7.5690000000e+01
8522;	8.4060000000e+01
8523;	8.2930000000e+01
8524;	1.0959000000e+02
8525;	8.9900000000e+01
8526;	8.9830000000e+01
8527;	1.2917000000e+02
8528;	6.8680000000e+01
8529;	1.0185000000e+02
8530;	6.7290000000e+01
8531;	9.4240000000e+01
8532;	8.1540000000e+01
8533;	1.0456000000e+02
8534;	1.0494000000e+02
8535;	8.4800000000e+01
8536;	8.7780000000e+01
8537;	9.7230000000e+01
8538;	8.3550000000e+01
8539;	9.0660000000e+01
8540;	1.0247000000e+02
8541;	1.2457000000e+02
8542;	1.0241000000e+02
8543;	9.4950000000e+01
8544;	9.4800000000e+01
8545;	8.0660000000e+01
8546;	1.1365000000e+02
8547;	1.1064000000e+02
8548;	9.7970000000e+01
8549;	9.6130000000e+01
8550;	1.0985000000e+02
8551;	9.8320000000e+01
8552;	9.6030000000e+01
8553;	9.2750000000e+01
8554;	1.0003000000e+02
8555;	1.0915000000e+02
8556;	9.2350000000e+01
8557;	9.9860000000e+01
8558;	8.6950000000e+01
8559;	7.5130000000e+01
8560;	1.0687000000e+02
8561;	9.2030000000e+01
8562;	8.8800000000e+01
8563;	8.7350000000e+01
8564;	7.6880000000e+01
8565;	9.5100000000e+01
8566;	8.6400000000e+01
8567;	1.3383000000e+02
8568;	1.1375000000e+02
8569;	9.7090000000e+01
8570;	8.7300000000e+01
8571;	8.1560000000e+01
8572;	9.3430000000e+01
8573;	8.7420000000e+01
8574;	9.7510000000e+01
8575;	1.2133000000e+02
8576;	1.0129000000e+02
8577;	1.0800000000e+02
8578;	9.7060000000e+01
8579;	1.1857000000e+02
8580;	1.2008000000e+02
8581;	1.0008000000e+02
8582;	8.7970000000e+01
8583;	9.5050000000e+01
8584;	8.7880000000e+01
8585;	6.1130000000e+01
8586;	9.2870000000e+01
8587;	1.1661000000e+02
8588;	9.1530000000e+01
8589;	1.1345000000e+02
8590;	9.2600000000e+01
8591;	1.2815000000e+02
8592;	9.4890000000e+01
8593;	1.4967000000e+02
8594;	1.0088000000e+02
8595;	1.0801000000e+02
8596;	7.7300000000e+01
8597;	8.7430000000e+01
8598;	1.2247000000e+02
8599;	8.7410000000e+01
8600;	1.1134000000e+02
8601;	8.1410000000e+01
8602;	1.0015000000e+02
8603;	8.9030000000e+01
8604;	1.1196000000e+02
8605;	8.4810000000e+01
8606;	9.5760000000e+01
8607;	8.6820000000e+01
8608;	8.9280000000e+01
8609;	1.2429000000e+02
8610;	1.0124000000e+02
8611;	7.4880000000e+01
8612;	8.9410000000e+01
8613;	9.3930000000e+01
8614;	7.8300000000e+01
8615;	7.4320000000e+01
8616;	7.6830000000e+01
8617;	8.9290000000e+01
8618;	1.1081000000e+02
8619;	1.0841000000e+02
8620;	1.0502000000e+02
8621;	1.0580000000e+02
8622;	1.0783000000e+02
8623;	1.0636000000e+02
8624;	8.0020000000e+01
8625;	1.0526000000e+02
8626;	9.2470000000e+01
8627;	1.1371000000e+02
8628;	1.1214000000e+02
8629;	6.6580000000e+01
8630;	9.5230000000e+01
8631;	6.7190000000e+01
8632;	8.2410000000e+01
8633;	1.2458000000e+02
8634;	1.0256000000e+02
8635;	1.0893000000e+02
8636;	8.3150000000e+01
8637;	7.2920000000e+01
8638;	8.3660000000e+01
8639;	1.2092000000e+02
8640;	1.1137000000e+02
8641;	1.1754000000e+02
8642;	1.3650000000e+02
8643;	9.5240000000e+01
8644;	1.1364000000e+02
8645;	9.9650000000e+01
8646;	1.0415000000e+02
8647;	8.1200000000e+01
8648;	9.5110000000e+01
8649;	8.8280000000e+01
8650;	9.6210000000e+01
8651;	1.0713000000e+02
8652;	1.0578000000e+02
8653;	8.0300000000e+01
8654;	8.9780000000e+01
8655;	6.8670000000e+01
8656;	1.0174000000e+02
8657;	9.1230000000e+01
8658;	8.1690000000e+01
8659;	6.5440000000e+01
8660;	9.4730000000e+01
8661;	1.0815000000e+02
8662;	1.0713000000e+02
8663;	8.9230000000e+01
8664;	1.0003000000e+02
8665;	9.7260000000e+01
8666;	8.4900000000e+01
8667;	1.0912000000e+02
8668;	8.1090000000e+01
8669;	9.2550000000e+01
8670;	7.9150000000e+01
8671;	1.1560000000e+02
8672;	1.1545000000e+02
8673;	1.0790000000e+02
8674;	8.2830000000e+01
8675;	6.8410000000e+01
8676;	1.0428000000e+02
8677;	9.4430000000e+01
8678;	1.0923000000e+02
8679;	1.1409000000e+02
8680;	9.0840000000e+01
8681;	1.0802000000e+02
8682;	7.2090000000e+01
8683;	8.3330000000e+01
8684;	1.2108000000e+02
8685;	7.8130000000e+01
8686;	9.0430000000e+01
8687;	9.0430000000e+01
8688;	8.9140000000e+01
8689;	1.0048000000e+02
8690;	1.0316000000e+02
8691;	1.2339000000e+02
8692;	1.1250000000e+02
8693;	1.0789000000e+02
8694;	1.1418000000e+02
8695;	9.0830000000e+01
8696;	1.1062000000e+02
8697;	9.2670000000e+01
8698;	1.0535000000e+02
8699;	1.0830000000e+02
8700;	9.8370000000e+01
8701;	1.1822000000e+02
8702;	7.0940000000e+01
8703;	8.5110000000e+01
8704;	1.0311000000e+02
8705;	1.1310000000e+02
8706;	1.0630000000e+02
8707;	8.8480000000e+01
8708;	1.0982000000e+02
8709;	8.8680000000e+01
8710;	7.3410000000e+01
8711;	9.9910000000e+01
8712;	1.1518000000e+02
8713;	8.9550000000e+01
8714;	9.4780000000e+01
8715;	1.1632000000e+02
8716;	1.1278000000e+02
8717;	1.0426000000e+02
8718;	1.0958000000e+02
8719;	8.8330000000e+01
8720;	8.1350000000e+01
8721;	1.0070000000e+02
8722;	1.0683000000e+02
8723;	1.3083000000e+02
8724;	9.8720000000e+01
8725;	8.4290000000e+01
8726;	8.9930000000e+01
8727;	9.6080000000e+01
8728;	1.0764000000e+02
8729;	1.0444000000e+02
8730;	1.3242000000e+02
8731;	1.0395000000e+02
8732;	8.8780000000e+01
8733;	8.4250000000e+01
8734;	9.2380000000e+01
8735;	1.1277000000e+02
8736;	1.0051000000e+02
8737;	6.9500000000e+01
8738;	1.3088000000e+02
8739;	1.0491000000e+02
8740;	7.8330000000e+01
8741;	1.1013000000e+02
8742;	1.0530000000e+02
8743;	9.1220000000e+01
8744;	8.0300000000e+01
8745;	1.4175000000e+02
8746;	9.6710000000e+01
8747;	1.1740000000e+02
8748;	1.0857000000e+02
8749;	1.1524000000e+02
8750;	1.1153000000e+02
8751;	9.8390000000e+01
8752;	6.7440000000e+01
8753;	8.0000000000e+01
8754;	9.6160000000e+01
8755;	9.8900000000e+01
8756;	9.2320000000e+01
8757;	8.2380000000e+01
8758;	1.2671000000e+02
8759;	1.2003000000e+02
8760;	8.4230000000e+01
8761;	1.1247000000e+02
8762;	8.2130000000e+01
8763;	1.0046000000e+02
8764;	1.0580000000e+02
8765;	1.2650000000e+02
8766;	1.0505000000e+02
8767;	1.0519000000e+02
8768;	1.0672000000e+02
8769;	7.9020000000e+01
8770;	1.1703000000e+02
8771;	9.8000000000e+01
8772;	7.8500000000e+01
8773;	7.0810000000e+01
8774;	8.0370000000e+01
8775;	8.2090000000e+01
8776;	9.8390000000e+01
8777;	1.0050000000e+02
8778;	9.5310000000e+01
8779;	1.0692000000e+02
8780;	9.2960000000e+01
8781;	1.0055000000e+02
8782;	1.1328000000e+02
8783;	7.8470000000e+01
8784;	9.8820000000e+01
8785;	9.3600000000e+01
8786;	1.1873000000e+02
8787;	7.1730000000e+01
8788;	1.0362000000e+02
8789;	1.0536000000e+02
8790;	1.0989000000e+02
8791;	1.1274000000e+02
8792;	8.3020000000e+01
8793;	1.2095000000e+02
8794;	9.9980000000e+01
8795;	1.0720000000e+02
8796;	9.9810000000e+01
8797;	9.2700000000e+01
8798;	8.6850000000e+01
8799;	9.1870000000e+01
8800;	8.5830000000e+01
8801;	1.5893000000e+02
8802;	9.7000000000e+01
8803;	1.0090000000e+02
8804;	7.5650000000e+01
8805;	1.0069000000e+02
8806;	1.0230000000e+02
8807;	1.1530000000e+02
8808;	1.1552000000e+02
8809;	9.8310000000e+01
8810;	1.1048000000e+02
8811;	9.1400000000e+01
8812;	1.1574000000e+02
8813;	9.5480000000e+01
8814;	8.9000000000e+01
8815;	1.0248000000e+02
8816;	1.1178000000e+02
8817;	1.1599000000e+02
8818;	1.3775000000e+02
8819;	7.9450000000e+01
8820;	1.0003000000e+02
8821;	8.8410000000e+01
8822;	8.1620000000e+01
8823;	7.9280000000e+01
8824;	7.9450000000e+01
8825;	8.3890000000e+01
8826;	9.1320000000e+01
8827;	8.4000000000e+01
8828;	1.0025000000e+02
8829;	1.1446000000e+02
8830;	1.0986000000e+02
8831;	9.9420000000e+01
8832;	1.0567000000e+02
8833;	1.1480000000e+02
8834;	8.6120000000e+01
8835;	9.1900000000e+01
8836;	1.0527000000e+02
8837;	1.0409000000e+02
8838;	1.0119000000e+02
8839;	1.1641000000e+02
8840;	1.0814000000e+02
8841;	9.4450000000e+01
8842;	4.6680000000e+01
8843;	1.1448000000e+02
8844;	8.9990000000e+01
8845;	1.0832000000e+02
8846;	1.3908000000e+02
8847;	9.7290000000e+01
8848;	7.9960000000e+01
8849;	9.2430000000e+01
8850;	9.9840000000e+01
8851;	8.6060000000e+01
8852;	1.1264000000e+02
8853;	1.0625000000e+02
8854;	9.5970000000e+01
8855;	7.0490000000e+01
8856;	1.1023000000e+02
8857;	1.0728000000e+02
8858;	8.4680000000e+01
8859;	9.9050000000e+01
